timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1742003736458,199,2-Enter the store,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-47,text,true,,5664,529,17,27,https://petstore.octoperf.com/actions/Catalog.action,194,0,0
1742003734403,202,02-Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1-Search- jp@gc - Ultimate Thread Group 1-58,,true,,3445,975,17,27,null,0,2055,0
1742003736458,202,3-Searrch for Item,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-58,text,true,,3445,975,17,27,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=154FEE87D60B4880EDADEB52C4C774F5,202,0,0
1742003735719,989,01- Open URL,200,"Number of samples in transaction : 2, number of failing samples : 0",Scenario1-Search- jp@gc - Ultimate Thread Group 1-60,,true,,6439,1094,17,27,null,0,2,602
1742003735720,786,1-Open Pets Store,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-60,text,true,,1452,512,16,26,https://petstore.octoperf.com/,786,0,602
1742003736507,203,2-Enter the store,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-60,text,true,,4987,582,17,27,https://petstore.octoperf.com/actions/Catalog.action,202,0,0
1742003734637,197,02-Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1-Search- jp@gc - Ultimate Thread Group 1-51,,true,,3442,972,17,27,null,0,2031,0
1742003736667,197,3-Searrch for Item,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-51,text,true,,3442,972,17,27,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=154FEE87D60B4880EDADEB52C4C774F5,197,0,0
1742003735984,1011,01- Open URL,200,"Number of samples in transaction : 2, number of failing samples : 0",Scenario1-Search- jp@gc - Ultimate Thread Group 1-53,,true,,6438,1094,17,27,null,0,3,620
1742003735985,817,1-Open Pets Store,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-53,text,true,,1452,512,17,27,https://petstore.octoperf.com/,817,0,620
1742003736803,194,2-Enter the store,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-53,text,true,,4986,582,17,27,https://petstore.octoperf.com/actions/Catalog.action,191,0,0
1742003736135,982,01- Open URL,200,"Number of samples in transaction : 2, number of failing samples : 0",Scenario1-Search- jp@gc - Ultimate Thread Group 1-46,,true,,7116,988,17,27,null,0,2,577
1742003736136,778,1-Open Pets Store,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-46,text,true,,1452,459,17,27,https://petstore.octoperf.com/,778,0,577
1742003736915,204,2-Enter the store,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-46,text,true,,5664,529,17,27,https://petstore.octoperf.com/actions/Catalog.action,202,0,0
1742003736320,807,02_01_OpenURL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario2-View Details- jp@gc - Ultimate Thread Group 2-23,,true,,5664,529,8,28,null,0,1,594
1742003736320,807,02_01_OpenURL,200,,Scenario2-View Details- jp@gc - Ultimate Thread Group 2-23,text,true,,5664,529,8,28,https://petstore.octoperf.com/actions/Catalog.action,807,0,594
1742003734896,196,02-Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1-Search- jp@gc - Ultimate Thread Group 1-57,,true,,4081,971,18,28,null,0,2042,0
1742003736938,196,3-Searrch for Item,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-57,text,true,,4081,971,18,28,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=154FEE87D60B4880EDADEB52C4C774F5,196,0,0
1742003736212,1017,01- Open URL,200,"Number of samples in transaction : 2, number of failing samples : 0",Scenario1-Search- jp@gc - Ultimate Thread Group 1-59,,true,,6438,1094,18,28,null,0,3,624
1742003736213,812,1-Open Pets Store,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-59,text,true,,1452,512,17,27,https://petstore.octoperf.com/,812,0,624
1742003737026,205,2-Enter the store,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-59,text,true,,4986,582,18,28,https://petstore.octoperf.com/actions/Catalog.action,202,0,0
1742003732073,186,02_02_Click on Category,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario2-View Details- jp@gc - Ultimate Thread Group 2-28,,true,,3666,635,9,29,null,0,5076,0
1742003737150,186,02_02_Click on Category,200,,Scenario2-View Details- jp@gc - Ultimate Thread Group 2-28,text,true,,3666,635,9,29,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=BIRDS,185,0,0
